motif_DB	motif_ID	motif_ALT_ID	seq_ID	FASTA_score	PWM_score	class
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_77_shuf_18	1047	87.1965	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_19_shuf_15	861	81.2343	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_168_shuf_9	561	79.3304	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_41_shuf_6	357	77.218	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_37_shuf_17	983	72.393	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_37_shuf_2	128	70.6588	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_127_shuf_14	830	70.2476	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_127_shuf_4	260	70.239	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_135_shuf_12	721	66.9416	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_135_shuf_3	208	66.5463	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_122_shuf_1	87	53.9618	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_31_shuf_5	295	53.2378	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_44_shuf_17	986	51.3291	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_44_shuf_9	530	51.1054	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_35_shuf_17	982	49.5615	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_175_shuf_16	964	47.3365	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_175_shuf_1	109	45.9218	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_122_shuf_11	657	44.9142	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_10_shuf_3	173	44.2187	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_170_shuf_2	164	40.8886	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_128_shuf_6	375	40.715	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_133_shuf_14	834	39.5973	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_133_shuf_9	549	37.9025	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_133_shuf_11	663	37.7439	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_154_shuf_15	898	35.6392	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_42_shuf_7	415	34.7799	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_122_shuf_16	942	18.8093	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_178_shuf_11	682	13.4839	fp
/tmp/Rtmpgxq6kz/1	MA1102.3	CTCFL	TIPseq_peak_141_shuf_18	1064	13.2143	fp
